Crop,Soil_Type,Crop_Stage,Nutrient_Deficiency,Recommended_Fertilizer
Wheat,Clay,Harvesting,None,Compost
Mustard,Clay,Sowing,Nitrogen,Urea
Sugarcane,Red,Harvesting,Nitrogen,Urea
Millet,Sandy,Growing,None,Compost
Barley,Sandy,Growing,Phosphorus,Single Super Phosphate
Wheat,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Clay,Sowing,None,Compost
Millet,Clay,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Sandy,Growing,None,Compost
Maize,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Millet,Loamy,Harvesting,None,Compost
Soybean,Clay,Growing,Potassium,Muriate of Potash
Soybean,Red,Harvesting,None,Compost
Maize,Clay,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Red,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Sandy,Growing,None,Compost
Millet,Red,Growing,Nitrogen,Urea
Barley,Black,Harvesting,Nitrogen,Urea
Millet,Black,Harvesting,Potassium,Muriate of Potash
Soybean,Black,Growing,Potassium,Muriate of Potash
Soybean,Loamy,Sowing,Nitrogen,Urea
Sugarcane,Black,Growing,Nitrogen,Urea
Wheat,Sandy,Sowing,Phosphorus,Single Super Phosphate
Wheat,Sandy,Harvesting,Potassium,Muriate of Potash
Sugarcane,Sandy,Harvesting,Nitrogen,Urea
Groundnut,Sandy,Harvesting,Potassium,Muriate of Potash
Sugarcane,Black,Harvesting,None,Compost
Cotton,Red,Growing,Nitrogen,Urea
Millet,Sandy,Growing,None,Compost
Mustard,Sandy,Harvesting,None,Compost
Sugarcane,Red,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Red,Sowing,Potassium,Muriate of Potash
Mustard,Black,Sowing,Nitrogen,Urea
Sugarcane,Loamy,Harvesting,Nitrogen,Urea
Soybean,Sandy,Sowing,Nitrogen,Urea
Cotton,Black,Harvesting,Potassium,Muriate of Potash
Barley,Loamy,Growing,Potassium,Muriate of Potash
Sugarcane,Sandy,Growing,Phosphorus,Single Super Phosphate
Cotton,Red,Sowing,None,Compost
Wheat,Black,Growing,Phosphorus,Single Super Phosphate
Maize,Red,Sowing,None,Compost
Wheat,Red,Sowing,Phosphorus,Single Super Phosphate
Barley,Clay,Growing,Nitrogen,Urea
Sugarcane,Loamy,Growing,Nitrogen,Urea
Maize,Clay,Harvesting,None,Compost
Mustard,Loamy,Sowing,Nitrogen,Urea
Wheat,Sandy,Growing,None,Compost
Cotton,Clay,Sowing,Nitrogen,Urea
Mustard,Black,Harvesting,Nitrogen,Urea
Soybean,Loamy,Sowing,Potassium,Muriate of Potash
Groundnut,Red,Sowing,Phosphorus,Single Super Phosphate
Cotton,Red,Harvesting,Potassium,Muriate of Potash
Maize,Red,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Clay,Growing,Potassium,Muriate of Potash
Cotton,Red,Sowing,Phosphorus,Single Super Phosphate
Sugarcane,Clay,Harvesting,Potassium,Muriate of Potash
Barley,Sandy,Growing,Potassium,Muriate of Potash
Mustard,Clay,Sowing,None,Compost
Groundnut,Loamy,Growing,None,Compost
Paddy,Black,Harvesting,Nitrogen,Urea
Sugarcane,Sandy,Growing,Nitrogen,Urea
Soybean,Black,Harvesting,Potassium,Muriate of Potash
Soybean,Loamy,Sowing,None,Compost
Wheat,Clay,Harvesting,None,Compost
Barley,Sandy,Harvesting,None,Compost
Cotton,Red,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Sandy,Sowing,Nitrogen,Urea
Millet,Black,Harvesting,None,Compost
Wheat,Red,Growing,Nitrogen,Urea
Wheat,Sandy,Growing,None,Compost
Cotton,Black,Growing,None,Compost
Millet,Red,Growing,Potassium,Muriate of Potash
Millet,Black,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Loamy,Sowing,Potassium,Muriate of Potash
Millet,Black,Harvesting,Potassium,Muriate of Potash
Cotton,Black,Sowing,Nitrogen,Urea
Groundnut,Red,Growing,Potassium,Muriate of Potash
Wheat,Loamy,Growing,Potassium,Muriate of Potash
Mustard,Clay,Growing,None,Compost
Sugarcane,Black,Sowing,None,Compost
Mustard,Clay,Growing,Potassium,Muriate of Potash
Soybean,Loamy,Sowing,Potassium,Muriate of Potash
Cotton,Sandy,Harvesting,Potassium,Muriate of Potash
Sugarcane,Black,Harvesting,Potassium,Muriate of Potash
Groundnut,Red,Growing,Phosphorus,Single Super Phosphate
Sugarcane,Sandy,Harvesting,Potassium,Muriate of Potash
Cotton,Clay,Growing,Phosphorus,Single Super Phosphate
Cotton,Black,Growing,Phosphorus,Single Super Phosphate
Mustard,Loamy,Growing,Potassium,Muriate of Potash
Sugarcane,Sandy,Sowing,Potassium,Muriate of Potash
Millet,Loamy,Harvesting,Nitrogen,Urea
Barley,Black,Growing,Nitrogen,Urea
Millet,Red,Harvesting,Potassium,Muriate of Potash
Barley,Clay,Sowing,None,Compost
Sugarcane,Sandy,Growing,Potassium,Muriate of Potash
Soybean,Loamy,Growing,None,Compost
Millet,Clay,Harvesting,Potassium,Muriate of Potash
Cotton,Clay,Harvesting,Nitrogen,Urea
Mustard,Black,Growing,Potassium,Muriate of Potash
Mustard,Red,Harvesting,Potassium,Muriate of Potash
Wheat,Clay,Growing,None,Compost
Barley,Loamy,Growing,Potassium,Muriate of Potash
Millet,Black,Harvesting,None,Compost
Soybean,Sandy,Sowing,None,Compost
Barley,Red,Harvesting,Phosphorus,Single Super Phosphate
Millet,Sandy,Harvesting,Potassium,Muriate of Potash
Barley,Red,Sowing,None,Compost
Millet,Red,Growing,None,Compost
Paddy,Loamy,Growing,Nitrogen,Urea
Wheat,Loamy,Sowing,Nitrogen,Urea
Sugarcane,Sandy,Sowing,None,Compost
Soybean,Loamy,Harvesting,Potassium,Muriate of Potash
Wheat,Sandy,Sowing,Nitrogen,Urea
Wheat,Loamy,Sowing,Phosphorus,Single Super Phosphate
Sugarcane,Loamy,Growing,Potassium,Muriate of Potash
Groundnut,Clay,Sowing,Phosphorus,Single Super Phosphate
Cotton,Sandy,Growing,Phosphorus,Single Super Phosphate
Mustard,Loamy,Growing,Phosphorus,Single Super Phosphate
Cotton,Sandy,Sowing,None,Compost
Millet,Red,Growing,Potassium,Muriate of Potash
Cotton,Black,Sowing,Nitrogen,Urea
Wheat,Black,Harvesting,Potassium,Muriate of Potash
Cotton,Clay,Harvesting,Phosphorus,Single Super Phosphate
Sugarcane,Red,Sowing,Phosphorus,Single Super Phosphate
Millet,Loamy,Sowing,Phosphorus,Single Super Phosphate
Mustard,Clay,Sowing,Phosphorus,Single Super Phosphate
Barley,Loamy,Sowing,Nitrogen,Urea
Wheat,Sandy,Harvesting,None,Compost
Cotton,Black,Sowing,Phosphorus,Single Super Phosphate
Mustard,Loamy,Growing,Potassium,Muriate of Potash
Cotton,Sandy,Growing,None,Compost
Soybean,Clay,Sowing,None,Compost
Paddy,Black,Growing,None,Compost
Barley,Loamy,Growing,Potassium,Muriate of Potash
Cotton,Red,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Clay,Sowing,Potassium,Muriate of Potash
Soybean,Red,Harvesting,Phosphorus,Single Super Phosphate
Cotton,Black,Sowing,None,Compost
Barley,Sandy,Growing,Nitrogen,Urea
Millet,Clay,Harvesting,Potassium,Muriate of Potash
Cotton,Black,Growing,None,Compost
Millet,Black,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Black,Growing,None,Compost
Cotton,Clay,Harvesting,Nitrogen,Urea
Cotton,Sandy,Sowing,Potassium,Muriate of Potash
Wheat,Sandy,Growing,Potassium,Muriate of Potash
Wheat,Sandy,Sowing,None,Compost
Sugarcane,Sandy,Sowing,None,Compost
Wheat,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Barley,Red,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Red,Growing,None,Compost
Maize,Clay,Growing,Nitrogen,Urea
Sugarcane,Sandy,Growing,Phosphorus,Single Super Phosphate
Cotton,Loamy,Sowing,None,Compost
Sugarcane,Clay,Sowing,Phosphorus,Single Super Phosphate
Sugarcane,Clay,Harvesting,Potassium,Muriate of Potash
Wheat,Sandy,Harvesting,None,Compost
Cotton,Black,Harvesting,Nitrogen,Urea
Maize,Black,Growing,Nitrogen,Urea
Maize,Clay,Growing,None,Compost
Barley,Black,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Black,Sowing,Nitrogen,Urea
Barley,Black,Growing,Phosphorus,Single Super Phosphate
Barley,Sandy,Growing,None,Compost
Barley,Sandy,Sowing,Potassium,Muriate of Potash
Sugarcane,Clay,Harvesting,Nitrogen,Urea
Maize,Black,Harvesting,Potassium,Muriate of Potash
Mustard,Clay,Harvesting,None,Compost
Soybean,Red,Harvesting,Potassium,Muriate of Potash
Barley,Black,Growing,Phosphorus,Single Super Phosphate
Sugarcane,Black,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Red,Sowing,None,Compost
Mustard,Clay,Growing,Phosphorus,Single Super Phosphate
Wheat,Black,Harvesting,None,Compost
Wheat,Sandy,Growing,Nitrogen,Urea
Mustard,Loamy,Sowing,Potassium,Muriate of Potash
Paddy,Clay,Growing,None,Compost
Maize,Loamy,Harvesting,None,Compost
Paddy,Loamy,Growing,None,Compost
Soybean,Black,Sowing,None,Compost
Paddy,Black,Harvesting,Phosphorus,Single Super Phosphate
Sugarcane,Red,Growing,Potassium,Muriate of Potash
Millet,Clay,Harvesting,Nitrogen,Urea
Paddy,Clay,Harvesting,Nitrogen,Urea
Mustard,Clay,Sowing,Phosphorus,Single Super Phosphate
Barley,Clay,Sowing,Phosphorus,Single Super Phosphate
Millet,Loamy,Harvesting,Nitrogen,Urea
Barley,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Clay,Harvesting,Nitrogen,Urea
Cotton,Black,Growing,Phosphorus,Single Super Phosphate
Soybean,Red,Growing,None,Compost
Wheat,Loamy,Growing,Phosphorus,Single Super Phosphate
Cotton,Sandy,Growing,Nitrogen,Urea
Groundnut,Black,Growing,None,Compost
Groundnut,Loamy,Harvesting,None,Compost
Maize,Red,Harvesting,Potassium,Muriate of Potash
Soybean,Red,Harvesting,None,Compost
Sugarcane,Sandy,Sowing,Phosphorus,Single Super Phosphate
Maize,Sandy,Growing,Nitrogen,Urea
Millet,Red,Sowing,Nitrogen,Urea
Barley,Sandy,Sowing,None,Compost
Paddy,Red,Sowing,None,Compost
Mustard,Red,Growing,Nitrogen,Urea
Cotton,Red,Sowing,Nitrogen,Urea
Millet,Red,Growing,Potassium,Muriate of Potash
Mustard,Sandy,Harvesting,Nitrogen,Urea
Paddy,Red,Growing,Potassium,Muriate of Potash
Millet,Clay,Growing,None,Compost
Soybean,Loamy,Harvesting,Potassium,Muriate of Potash
Soybean,Black,Sowing,None,Compost
Sugarcane,Sandy,Sowing,Potassium,Muriate of Potash
Paddy,Loamy,Harvesting,Potassium,Muriate of Potash
Groundnut,Black,Sowing,None,Compost
Soybean,Loamy,Sowing,None,Compost
Barley,Clay,Harvesting,None,Compost
Paddy,Loamy,Growing,Phosphorus,Single Super Phosphate
Soybean,Loamy,Growing,Phosphorus,Single Super Phosphate
Mustard,Clay,Harvesting,Potassium,Muriate of Potash
Mustard,Sandy,Harvesting,Nitrogen,Urea
Paddy,Sandy,Sowing,None,Compost
Millet,Loamy,Harvesting,Nitrogen,Urea
Sugarcane,Black,Growing,Phosphorus,Single Super Phosphate
Cotton,Sandy,Growing,None,Compost
Cotton,Red,Growing,Nitrogen,Urea
Maize,Clay,Growing,Phosphorus,Single Super Phosphate
Maize,Loamy,Sowing,Phosphorus,Single Super Phosphate
Groundnut,Clay,Harvesting,None,Compost
Millet,Clay,Growing,None,Compost
Wheat,Red,Harvesting,Nitrogen,Urea
Wheat,Sandy,Sowing,Potassium,Muriate of Potash
Cotton,Red,Sowing,Potassium,Muriate of Potash
Mustard,Loamy,Sowing,None,Compost
Millet,Clay,Harvesting,Phosphorus,Single Super Phosphate
Millet,Sandy,Growing,Phosphorus,Single Super Phosphate
Wheat,Loamy,Growing,Potassium,Muriate of Potash
Groundnut,Black,Sowing,Potassium,Muriate of Potash
Wheat,Red,Growing,None,Compost
Mustard,Sandy,Harvesting,None,Compost
Millet,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Sugarcane,Loamy,Sowing,Phosphorus,Single Super Phosphate
Cotton,Sandy,Harvesting,None,Compost
Wheat,Clay,Harvesting,Nitrogen,Urea
Sugarcane,Red,Growing,None,Compost
Millet,Red,Harvesting,None,Compost
Mustard,Clay,Sowing,Phosphorus,Single Super Phosphate
Wheat,Sandy,Sowing,Phosphorus,Single Super Phosphate
Paddy,Sandy,Growing,Phosphorus,Single Super Phosphate
Sugarcane,Clay,Harvesting,Potassium,Muriate of Potash
Soybean,Sandy,Growing,Potassium,Muriate of Potash
Mustard,Sandy,Growing,Potassium,Muriate of Potash
Soybean,Sandy,Growing,Nitrogen,Urea
Mustard,Clay,Growing,Phosphorus,Single Super Phosphate
Maize,Clay,Growing,Nitrogen,Urea
Soybean,Loamy,Growing,None,Compost
Millet,Sandy,Sowing,Nitrogen,Urea
Cotton,Loamy,Sowing,Potassium,Muriate of Potash
Maize,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Clay,Growing,Nitrogen,Urea
Paddy,Clay,Harvesting,None,Compost
Cotton,Loamy,Harvesting,Potassium,Muriate of Potash
Wheat,Clay,Harvesting,Nitrogen,Urea
Maize,Loamy,Growing,Phosphorus,Single Super Phosphate
Mustard,Sandy,Growing,None,Compost
Wheat,Clay,Sowing,Phosphorus,Single Super Phosphate
Wheat,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Loamy,Sowing,Potassium,Muriate of Potash
Sugarcane,Clay,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Clay,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Black,Harvesting,Nitrogen,Urea
Sugarcane,Clay,Harvesting,Potassium,Muriate of Potash
Mustard,Red,Growing,Phosphorus,Single Super Phosphate
Maize,Clay,Sowing,Nitrogen,Urea
Soybean,Loamy,Growing,Phosphorus,Single Super Phosphate
Millet,Sandy,Harvesting,Nitrogen,Urea
Paddy,Red,Growing,None,Compost
Groundnut,Red,Harvesting,None,Compost
Groundnut,Black,Growing,Phosphorus,Single Super Phosphate
Soybean,Clay,Harvesting,Potassium,Muriate of Potash
Maize,Red,Sowing,Nitrogen,Urea
Cotton,Clay,Harvesting,Potassium,Muriate of Potash
Millet,Clay,Harvesting,Potassium,Muriate of Potash
Millet,Loamy,Harvesting,Nitrogen,Urea
Maize,Sandy,Growing,Nitrogen,Urea
Maize,Red,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Black,Growing,Potassium,Muriate of Potash
Mustard,Loamy,Growing,Potassium,Muriate of Potash
Mustard,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Groundnut,Loamy,Harvesting,Nitrogen,Urea
Soybean,Loamy,Harvesting,Potassium,Muriate of Potash
Soybean,Black,Sowing,None,Compost
Mustard,Clay,Harvesting,Nitrogen,Urea
Cotton,Sandy,Growing,Nitrogen,Urea
Cotton,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Barley,Red,Growing,Potassium,Muriate of Potash
Soybean,Sandy,Harvesting,Potassium,Muriate of Potash
Paddy,Sandy,Sowing,Phosphorus,Single Super Phosphate
Maize,Black,Sowing,Nitrogen,Urea
Maize,Sandy,Sowing,Phosphorus,Single Super Phosphate
Millet,Red,Sowing,Nitrogen,Urea
Sugarcane,Black,Sowing,Nitrogen,Urea
Barley,Sandy,Sowing,Nitrogen,Urea
Cotton,Black,Growing,Nitrogen,Urea
Mustard,Sandy,Growing,None,Compost
Sugarcane,Black,Growing,None,Compost
Soybean,Clay,Harvesting,Potassium,Muriate of Potash
Paddy,Sandy,Harvesting,None,Compost
Mustard,Loamy,Growing,Potassium,Muriate of Potash
Soybean,Sandy,Sowing,Nitrogen,Urea
Maize,Clay,Growing,Potassium,Muriate of Potash
Millet,Sandy,Sowing,Nitrogen,Urea
Barley,Loamy,Harvesting,None,Compost
Paddy,Clay,Sowing,Nitrogen,Urea
Millet,Loamy,Growing,Potassium,Muriate of Potash
Cotton,Loamy,Sowing,Nitrogen,Urea
Paddy,Loamy,Growing,Nitrogen,Urea
Maize,Clay,Sowing,None,Compost
Maize,Red,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Black,Sowing,Potassium,Muriate of Potash
Paddy,Red,Growing,Nitrogen,Urea
Barley,Loamy,Growing,None,Compost
Cotton,Red,Sowing,Potassium,Muriate of Potash
Wheat,Sandy,Growing,Nitrogen,Urea
Millet,Clay,Growing,Nitrogen,Urea
Mustard,Loamy,Harvesting,Potassium,Muriate of Potash
Maize,Red,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Red,Harvesting,None,Compost
Groundnut,Clay,Sowing,Nitrogen,Urea
Cotton,Sandy,Growing,Phosphorus,Single Super Phosphate
Wheat,Clay,Growing,Potassium,Muriate of Potash
Cotton,Red,Growing,Phosphorus,Single Super Phosphate
Barley,Clay,Harvesting,None,Compost
Paddy,Clay,Growing,Phosphorus,Single Super Phosphate
Wheat,Sandy,Harvesting,None,Compost
Maize,Sandy,Growing,Phosphorus,Single Super Phosphate
Barley,Red,Growing,Nitrogen,Urea
Groundnut,Sandy,Growing,None,Compost
Maize,Sandy,Harvesting,None,Compost
Paddy,Black,Growing,None,Compost
Mustard,Loamy,Harvesting,None,Compost
Mustard,Red,Sowing,Nitrogen,Urea
Wheat,Loamy,Sowing,Nitrogen,Urea
Cotton,Black,Growing,Phosphorus,Single Super Phosphate
Paddy,Black,Harvesting,Phosphorus,Single Super Phosphate
Millet,Sandy,Sowing,Potassium,Muriate of Potash
Sugarcane,Red,Harvesting,Potassium,Muriate of Potash
Paddy,Sandy,Growing,None,Compost
Cotton,Clay,Harvesting,Potassium,Muriate of Potash
Cotton,Loamy,Harvesting,Nitrogen,Urea
Groundnut,Red,Growing,Nitrogen,Urea
Millet,Red,Sowing,Phosphorus,Single Super Phosphate
Barley,Black,Sowing,Nitrogen,Urea
Barley,Sandy,Growing,Phosphorus,Single Super Phosphate
Barley,Loamy,Growing,Nitrogen,Urea
Maize,Clay,Sowing,Nitrogen,Urea
Sugarcane,Sandy,Sowing,Nitrogen,Urea
Groundnut,Black,Harvesting,Phosphorus,Single Super Phosphate
Millet,Loamy,Sowing,Potassium,Muriate of Potash
Paddy,Loamy,Harvesting,Nitrogen,Urea
Barley,Black,Sowing,Nitrogen,Urea
Wheat,Loamy,Growing,None,Compost
Cotton,Black,Sowing,Nitrogen,Urea
Maize,Red,Sowing,None,Compost
Barley,Loamy,Sowing,None,Compost
Wheat,Black,Sowing,None,Compost
Maize,Sandy,Sowing,Phosphorus,Single Super Phosphate
Groundnut,Loamy,Harvesting,Nitrogen,Urea
Barley,Sandy,Sowing,Nitrogen,Urea
Mustard,Clay,Growing,Potassium,Muriate of Potash
Mustard,Sandy,Growing,Potassium,Muriate of Potash
Cotton,Loamy,Harvesting,Nitrogen,Urea
Millet,Loamy,Harvesting,None,Compost
Paddy,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Sandy,Growing,None,Compost
Millet,Sandy,Sowing,Nitrogen,Urea
Soybean,Sandy,Sowing,Phosphorus,Single Super Phosphate
Millet,Clay,Sowing,Potassium,Muriate of Potash
Cotton,Black,Growing,None,Compost
Paddy,Black,Harvesting,Phosphorus,Single Super Phosphate
Maize,Red,Sowing,Phosphorus,Single Super Phosphate
Mustard,Red,Sowing,None,Compost
Sugarcane,Sandy,Growing,Nitrogen,Urea
Soybean,Sandy,Harvesting,Potassium,Muriate of Potash
Mustard,Black,Sowing,None,Compost
Millet,Red,Sowing,Potassium,Muriate of Potash
Mustard,Red,Harvesting,Nitrogen,Urea
Soybean,Sandy,Growing,Phosphorus,Single Super Phosphate
Barley,Red,Sowing,None,Compost
Barley,Red,Growing,Potassium,Muriate of Potash
Millet,Loamy,Sowing,Nitrogen,Urea
Sugarcane,Clay,Harvesting,None,Compost
Paddy,Sandy,Harvesting,Potassium,Muriate of Potash
Barley,Sandy,Growing,Phosphorus,Single Super Phosphate
Paddy,Sandy,Growing,Phosphorus,Single Super Phosphate
Groundnut,Red,Growing,Potassium,Muriate of Potash
Cotton,Clay,Harvesting,Potassium,Muriate of Potash
Millet,Loamy,Sowing,Phosphorus,Single Super Phosphate
Millet,Sandy,Sowing,Potassium,Muriate of Potash
Cotton,Clay,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Cotton,Sandy,Harvesting,Nitrogen,Urea
Sugarcane,Black,Harvesting,None,Compost
Soybean,Sandy,Harvesting,Nitrogen,Urea
Groundnut,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Cotton,Sandy,Harvesting,Nitrogen,Urea
Soybean,Clay,Growing,None,Compost
Cotton,Loamy,Harvesting,Nitrogen,Urea
Soybean,Clay,Growing,Potassium,Muriate of Potash
Maize,Clay,Growing,None,Compost
Groundnut,Loamy,Harvesting,Nitrogen,Urea
Paddy,Clay,Sowing,Phosphorus,Single Super Phosphate
Mustard,Loamy,Sowing,Nitrogen,Urea
Paddy,Clay,Harvesting,None,Compost
Millet,Black,Sowing,None,Compost
Maize,Clay,Growing,Phosphorus,Single Super Phosphate
Sugarcane,Black,Sowing,Nitrogen,Urea
Barley,Loamy,Growing,Phosphorus,Single Super Phosphate
Paddy,Black,Harvesting,None,Compost
Millet,Clay,Growing,Nitrogen,Urea
Cotton,Clay,Growing,Nitrogen,Urea
Barley,Loamy,Sowing,Potassium,Muriate of Potash
Barley,Black,Growing,Nitrogen,Urea
Mustard,Loamy,Sowing,Phosphorus,Single Super Phosphate
Soybean,Black,Harvesting,Nitrogen,Urea
Sugarcane,Black,Sowing,None,Compost
Millet,Loamy,Growing,Nitrogen,Urea
Millet,Clay,Growing,None,Compost
Wheat,Loamy,Sowing,None,Compost
Soybean,Loamy,Growing,Potassium,Muriate of Potash
Sugarcane,Clay,Growing,Phosphorus,Single Super Phosphate
Sugarcane,Loamy,Sowing,Nitrogen,Urea
Barley,Clay,Sowing,Nitrogen,Urea
Soybean,Black,Growing,Phosphorus,Single Super Phosphate
Soybean,Red,Growing,Phosphorus,Single Super Phosphate
Cotton,Clay,Sowing,None,Compost
Paddy,Clay,Growing,Potassium,Muriate of Potash
Cotton,Sandy,Sowing,Nitrogen,Urea
Paddy,Sandy,Growing,None,Compost
Sugarcane,Loamy,Growing,Potassium,Muriate of Potash
Soybean,Black,Harvesting,Nitrogen,Urea
Sugarcane,Clay,Sowing,Phosphorus,Single Super Phosphate
Groundnut,Red,Growing,None,Compost
Millet,Clay,Growing,Nitrogen,Urea
Soybean,Black,Harvesting,Potassium,Muriate of Potash
Mustard,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Maize,Red,Sowing,Nitrogen,Urea
Millet,Sandy,Sowing,Nitrogen,Urea
Millet,Red,Harvesting,Phosphorus,Single Super Phosphate
Soybean,Red,Harvesting,Nitrogen,Urea
Millet,Sandy,Growing,None,Compost
Mustard,Clay,Sowing,Nitrogen,Urea
Wheat,Loamy,Sowing,Potassium,Muriate of Potash
Soybean,Loamy,Sowing,Nitrogen,Urea
Soybean,Black,Growing,Nitrogen,Urea
Wheat,Clay,Sowing,Potassium,Muriate of Potash
Cotton,Sandy,Growing,None,Compost
Soybean,Clay,Harvesting,Potassium,Muriate of Potash
Barley,Loamy,Harvesting,Nitrogen,Urea
Paddy,Loamy,Harvesting,Nitrogen,Urea
Paddy,Clay,Growing,Nitrogen,Urea
Soybean,Black,Harvesting,Nitrogen,Urea
Maize,Red,Harvesting,Phosphorus,Single Super Phosphate
Paddy,Sandy,Sowing,Potassium,Muriate of Potash
Millet,Clay,Growing,Nitrogen,Urea
Cotton,Loamy,Sowing,Nitrogen,Urea
Groundnut,Sandy,Growing,Phosphorus,Single Super Phosphate
Cotton,Clay,Growing,None,Compost
Groundnut,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Wheat,Black,Sowing,None,Compost
Paddy,Sandy,Sowing,Phosphorus,Single Super Phosphate
Cotton,Loamy,Sowing,Phosphorus,Single Super Phosphate
Groundnut,Loamy,Harvesting,Phosphorus,Single Super Phosphate
Sugarcane,Clay,Growing,Nitrogen,Urea
Groundnut,Loamy,Growing,Nitrogen,Urea
Maize,Sandy,Sowing,Potassium,Muriate of Potash
Barley,Red,Harvesting,None,Compost
Mustard,Clay,Growing,None,Compost
Barley,Sandy,Sowing,Nitrogen,Urea
Paddy,Black,Growing,Nitrogen,Urea
Cotton,Sandy,Harvesting,None,Compost
Wheat,Red,Sowing,Nitrogen,Urea
Millet,Sandy,Harvesting,None,Compost
Paddy,Red,Growing,None,Compost
Sugarcane,Sandy,Harvesting,Nitrogen,Urea
Soybean,Clay,Harvesting,Nitrogen,Urea
Groundnut,Sandy,Harvesting,Phosphorus,Single Super Phosphate
Groundnut,Black,Sowing,Nitrogen,Urea
Wheat,Clay,Harvesting,Phosphorus,Single Super Phosphate
Groundnut,Black,Growing,Phosphorus,Single Super Phosphate
Cotton,Loamy,Sowing,Phosphorus,Single Super Phosphate
Groundnut,Clay,Sowing,Potassium,Muriate of Potash
Soybean,Sandy,Harvesting,None,Compost
Groundnut,Clay,Growing,None,Compost
Cotton,Clay,Sowing,Potassium,Muriate of Potash
Sugarcane,Sandy,Harvesting,Nitrogen,Urea
Soybean,Clay,Sowing,Phosphorus,Single Super Phosphate
Paddy,Sandy,Sowing,Potassium,Muriate of Potash
Mustard,Red,Harvesting,Phosphorus,Single Super Phosphate
Mustard,Black,Growing,Nitrogen,Urea
Maize,Clay,Harvesting,None,Compost
Cotton,Loamy,Growing,None,Compost
Paddy,Clay,Growing,Nitrogen,Urea
Barley,Sandy,Growing,None,Compost
Sugarcane,Black,Sowing,Nitrogen,Urea
Barley,Red,Growing,Phosphorus,Single Super Phosphate
